Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
946	2.36250	1967.853	620.882	1146.566	1876.811	362.629	1533.469	1842.062	416.651	923.803	1981.211	385.450	997.045	2000.211	213.677	980.419	1526.565	253.720	129.694	1779.730	266.075	1259.729	1775.006	161.357	463.367	1975.520	429.994	431.541	1695.126	276.672	71.390	1901.383	174.897	1532.874	1635.251	229.767	103.251	1809.040	516.711	962.213	1752.810	258.242	1588.760	2353.061	346.208	501.456	2366.013	402.802	461.553	1846.590	171.849	927.036	2125.937	21.698	898.596	2151.049	25.717	1201.819	1756.646	261.797	1118.461	2418.565	392.971	314.359
947	2.36500	1957.170	620.540	1145.294	1863.898	361.773	1532.036	1831.022	416.714	922.617	1970.147	385.954	995.715	1989.445	214.693	979.069	1520.716	255.484	125.331	1768.534	266.116	1257.921	1763.906	162.426	462.560	1960.343	431.210	429.667	1689.918	277.389	69.058	1889.703	174.613	1531.373	1629.395	231.018	100.246	1800.615	518.557	957.411	1741.266	258.145	1587.351	2336.467	346.421	503.180	2350.054	403.110	463.383	1836.137	171.833	925.785	2111.844	20.057	895.365	2138.676	24.914	1198.102	1745.565	261.626	1117.109	2403.716	392.799	316.729
948	2.36750	1946.456	620.299	1143.703	1854.160	362.230	1530.334	1819.655	416.683	921.252	1959.055	386.430	994.344	1978.976	215.375	977.586	1515.157	257.349	120.918	1757.203	265.888	1256.524	1752.867	163.409	461.662	1945.017	432.384	427.919	1685.070	278.026	66.665	1878.070	174.369	1529.913	1623.975	232.114	97.150	1792.453	520.560	952.568	1729.719	258.064	1585.510	2320.002	346.716	504.531	2333.864	403.392	464.843	1825.847	171.809	924.469	2097.912	18.434	891.880	2126.224	24.040	1194.248	1734.413	261.714	1115.303	2388.343	393.103	318.766
949	2.37000	1935.954	620.074	1142.125	1841.525	361.501	1528.809	1808.727	416.819	919.913	1948.068	386.938	992.919	1969.403	214.643	976.003	1509.745	258.983	116.367	1745.921	265.922	1254.721	1742.011	164.339	460.551	1929.561	433.473	426.034	1680.501	278.621	64.270	1866.494	174.107	1528.360	1618.684	233.123	94.035	1783.824	522.399	947.713	1718.207	258.026	1583.884	2303.282	347.116	505.827	2317.419	403.561	466.296	1815.593	171.842	923.019	2083.885	16.872	888.423	2113.252	22.726	1190.463	1723.256	261.658	1113.534	2372.822	393.426	320.298
950	2.37250	1925.266	619.798	1140.376	1831.415	361.868	1527.071	1794.568	415.553	918.189	1937.007	387.469	991.551	1959.165	215.087	974.488	1504.575	260.862	111.657	1734.693	265.835	1252.800	1731.126	165.492	459.436	1914.157	434.718	424.055	1676.005	279.197	61.883	1854.892	173.919	1526.805	1613.634	234.101	90.843	1775.434	524.250	942.812	1706.663	257.996	1582.144	2286.545	347.403	506.876	2300.943	403.780	467.513	1805.302	171.750	921.731	2069.676	15.100	884.774	2100.625	21.764	1186.408	1712.040	261.641	1111.812	2357.127	393.591	321.897
951	2.37500	1914.563	619.494	1138.774	1818.714	361.113	1525.467	1784.547	416.133	916.831	1925.948	387.960	990.035	1947.476	217.707	973.018	1499.487	262.608	106.715	1723.415	265.861	1250.991	1720.168	166.629	458.283	1898.525	435.867	422.253	1671.846	279.740	59.572	1843.317	173.728	1525.086	1609.527	234.452	88.100	1767.317	526.311	937.919	1695.136	257.956	1580.522	2269.799	347.711	507.791	2284.479	404.156	468.320	1794.892	171.768	920.276	2055.508	13.489	881.079	2087.970	20.681	1182.289	1700.840	261.876	1109.787	2341.278	393.548	323.099
952	2.37750	1904.108	619.353	1136.788	1808.425	361.446	1523.599	1774.445	416.648	915.304	1914.946	388.444	988.469	1937.253	218.649	971.272	1494.824	264.464	101.804	1712.236	265.874	1249.098	1709.345	167.724	457.008	1882.920	436.944	420.194	1667.826	280.362	57.222	1831.746	173.556	1523.443	1604.927	235.480	84.891	1759.453	528.596	932.907	1683.605	257.921	1578.671	2252.900	348.140	508.598	2268.104	404.718	468.932	1783.782	172.345	918.553	2040.765	11.411	877.361	2075.329	19.664	1178.022	1689.583	262.045	1107.629	2325.203	393.603	324.134
953	2.38000	1893.424	619.000	1134.931	1797.354	361.439	1521.677	1763.446	416.744	913.650	1903.970	388.978	986.955	1926.674	219.273	969.694	1490.210	266.138	96.875	1701.047	265.919	1246.900	1698.596	168.704	455.609	1867.146	438.062	418.183	1663.900	280.843	55.152	1820.144	173.309	1521.568	1600.403	236.380	81.662	1751.165	530.557	927.931	1672.146	257.910	1576.959	2235.986	348.580	509.130	2251.449	405.106	469.488	1774.009	171.504	917.072	2026.484	9.724	873.507	2062.548	18.530	1173.632	1678.372	262.054	1105.639	2308.899	393.755	324.752
954	2.38250	1882.784	618.762	1132.983	1785.743	361.201	1519.634	1752.388	416.897	911.969	1892.956	389.493	985.292	1916.014	219.941	967.982	1485.887	267.896	91.855	1689.666	265.943	1244.844	1687.933	169.659	454.179	1851.148	439.067	416.187	1660.174	281.208	52.882	1808.491	173.153	1519.671	1595.907	237.289	78.549	1742.984	532.508	922.891	1660.850	257.982	1574.989	2218.983	349.174	509.412	2234.439	405.452	469.774	1763.487	171.356	915.427	2012.016	7.986	869.711	2049.703	17.332	1169.330	1667.019	262.184	1103.467	2292.662	393.474	325.298
955	2.38500	1872.413	618.645	1130.854	1774.560	361.171	1517.649	1741.157	416.941	910.191	1881.932	389.908	983.604	1905.481	220.757	966.304	1481.489	269.676	86.766	1678.397	265.936	1242.683	1677.358	170.654	452.738	1835.220	440.122	414.197	1656.446	281.782	50.577	1797.017	172.974	1517.779	1591.645	238.179	75.269	1734.945	534.516	917.815	1649.324	257.934	1573.049	2201.964	349.729	509.616	2217.362	405.800	469.748	1753.006	171.139	913.777	1997.908	5.983	865.863	2036.709	16.085	1164.859	1655.938	262.229	1101.511	2276.150	393.295	325.667
956	2.38750	1861.646	618.217	1128.856	1763.107	360.982	1515.699	1729.929	416.966	908.509	1870.796	390.391	981.887	1894.909	221.707	964.525	1477.211	271.433	81.641	1667.143	266.120	1240.370	1666.752	171.673	451.332	1819.147	441.235	411.983	1652.733	282.116	48.679	1785.445	172.839	1515.713	1587.493	238.800	72.141	1726.931	536.551	912.872	1637.861	257.891	1571.296	2185.125	350.233	509.745	2200.720	406.366	469.522	1742.463	170.858	912.209	1983.344	4.313	861.957	2023.862	14.838	1160.237	1644.509	262.382	1099.005	2259.365	393.003	325.796
